full_name,neo,pha,sats,H,G,diameter,extent,albedo,rot_per,GM,BV,UB,spec_B,spec_T,orbit_id,epoch,equinox,e,a,q,i,om,w,ma,ad,n,tp,per_y,moid,moid_jup,t_jup,class,producer,data_arc,first_obs,last_obs,n_obs_used,condition_code,rms
436671 (2011 SV71),Y,Y,0,18,,2.159,,0.024,,,,,,,JPL 57,2460000.5,J2000,0.6103,2.627,1.024,13.42,80.6,190.5,284.16,4.23,0.2315,2460328.09,4.26,0.0139,0.917,3.08,AMO,Otto Matic,6195,19/03/02,05/03/19,205,0,0.46086
436724 (2011 UW158),Y,Y,0,19.98,,,,,0.61073,,,,,,JPL 142,2460000.5,J2000,0.3762,1.621,1.011,4.57,285.98,8.8,247.51,2.23,0.4777,2460235.98,2.06,0.00259,2.98,4.24,APO,Otto Matic,3403,25/10/11,17/02/21,958,0,0.33157
436761 (2012 DN),Y,N,0,18.22,,2.773,,0.013,,,,,,,JPL 46,2460000.5,J2000,0.5931,2.236,0.91,19.95,143.29,247.28,161.76,3.56,0.2949,2459451.87,3.34,0.103,2.29,3.32,APO,Otto Matic,3675,16/02/12,10/03/22,139,0,0.58772
436763 (2012 FN52),Y,N,0,18.02,,,,,,,,,,,JPL 28,2460000.5,J2000,0.6649,1.979,0.663,22.62,93.11,350.33,6.96,3.29,0.354,2459980.84,2.78,0.302,1.99,3.48,APO,Otto Matic,7744,16/06/01,29/08/22,129,0,0.43756
436764 (2012 FB57),Y,N,0,19.47,,,,,,,,,,,JPL 38,2460000.5,J2000,0.3971,2.019,1.217,5.18,121.49,40.61,292.6,2.82,0.3436,2460196.65,2.87,0.235,2.17,3.72,AMO,Otto Matic,4633,10/10/02,17/06/15,142,0,0.39794
436771 (2012 JG11),Y,N,0,19.03,,,,,,,,,,,JPL 55,2460000.5,J2000,0.4325,0.9621,0.546,24.73,165.54,280.39,212.34,1.38,1.044,2460141.89,0.944,0.113,3.95,6.11,ATE,Otto Matic,2604,12/05/12,29/06/19,176,0,0.47865
436774 (2012 KY3),Y,Y,0,18.47,,,,,,,,,,,JPL 48,2460000.5,J2000,0.4862,1.232,0.633,21.39,21.52,87.31,6.26,1.83,0.7206,2459991.82,1.37,0.0238,3.49,5.01,APO,Giorgini,3698,16/05/12,01/07/22,151,0,0.32556
436775 (2012 LC1),Y,N,0,16.53,,,,,5.687,,,,,,JPL 78,2460000.5,J2000,0.7643,2.01,0.474,34.39,53.73,52.44,287.36,3.55,0.3459,2460210.52,2.85,0.218,2.49,3.25,APO,Otto Matic,3026,08/06/12,20/09/20,520,0,0.29947
437316 (2013 OS3),Y,N,0,18.43,,,,,5.593,,,,,,JPL 85,2460000.5,J2000,0.4687,1.829,0.972,29.9,297.61,224.69,75.03,2.69,0.3985,2459812.22,2.47,0.0772,2.61,3.75,APO,Otto Matic,2394,16/07/13,04/02/20,1220,0,0.2944
437841 (1998 HD14),Y,Y,0,21,,,,,,,,,,,JPL 56,2460000.5,J2000,0.3126,0.9632,0.662,7.81,183.76,260.9,188.87,1.26,1.043,2460164.64,0.945,0.0341,3.95,6.21,ATE,Otto Matic,7735,25/04/98,29/06/19,210,0,0.46883
437844 (1999 MN),Y,Y,0,21.19,,,,,5.495,,,,,,JPL 54,2460000.5,J2000,0.6653,0.674,0.226,2.04,81.4,9.2,126.3,1.12,1.781,2459929.59,0.553,0.00601,4.09,8.26,ATE,Otto Matic,7690,22/06/99,11/07/20,165,0,0.6061
437846 (1999 RJ27),Y,N,0,19.46,,,,,,,,,,,JPL 32,2460000.5,J2000,0.3523,1.479,0.958,25.78,170.29,64.37,92.09,2,0.548,2459832.45,1.8,0.109,3.15,4.42,APO,Otto Matic,8103,06/09/99,12/11/21,98,0,0.70046
437879 (2001 RX11),Y,N,0,17.95,,1.82,,0.044,,,,,,,JPL 56,2460000.5,J2000,0.547,2.763,1.252,13.09,343.71,307.86,252.31,4.27,0.2146,2460502.36,4.59,0.295,1.25,3.07,AMO,Otto Matic,6417,08/09/01,04/04/19,198,0,0.57952
437905 (2001 XU30),Y,Y,0,19.98,,,,,,,,,Sq,,JPL 31,2460000.5,J2000,0.6659,2.196,0.734,8.91,72.19,106.95,166.59,3.66,0.3029,2459450.55,3.25,0.00255,1.41,3.33,APO,Otto Matic,4930,13/12/01,13/06/15,184,0,0.51225
437908 (2001 XW266),Y,N,0,19.5,,,,,,,,,,,JPL 69,2460000.5,J2000,0.4517,2.284,1.253,4.62,205.72,90.11,79.06,3.32,0.2854,2459723.52,3.45,0.253,1.95,3.46,AMO,Otto Matic,7631,09/12/01,31/10/22,257,0,0.52257
437965 (2003 AL73),Y,N,0,19.49,,,,,,,,,,,JPL 34,2460000.5,J2000,0.6946,2.541,0.776,9.65,217.33,336.41,331.55,4.31,0.2433,2460117.42,4.05,0.106,0.758,3.04,APO,Otto Matic,4596,12/01/03,13/08/15,102,0,0.53941
437994 (2003 UL12),Y,N,0,17.48,,1.078,,0.2,,,,,,,JPL 108,2460000.5,J2000,0.7026,3.281,0.976,19.81,192.76,275.23,77.37,5.59,0.1658,2459533.92,5.94,0.257,1.56,2.65,APO,Otto Matic,8809,23/04/98,05/06/22,495,0,0.53029
438017 (2003 YO3),Y,N,0,18.71,,,,,,,,,,,JPL 46,2460000.5,J2000,0.3661,1.45,0.919,24.6,291.37,168.75,339.1,1.98,0.5645,2460037.52,1.75,0.0595,3.19,4.48,APO,Otto Matic,6771,18/12/03,02/07/22,139,0,0.49545
438105 (2005 GO22),Y,Y,0,18.75,,,,,4.103,,,,,,JPL 73,2460000.5,J2000,0.8233,1.914,0.338,1.56,61.76,19.08,289.75,3.49,0.3723,2460189.18,2.65,0.0187,1.81,3.41,APO,Otto Matic,5911,05/04/05,11/06/21,308,0,0.46828
438107 (2005 GY110),Y,N,0,18.36,,0.663,,0.191,,,,,,,JPL 38,2460000.5,J2000,0.6861,1.849,0.581,12.64,294.61,169.13,56.34,3.12,0.392,2459856.76,2.51,0.214,2.07,3.66,APO,Otto Matic,5230,10/04/05,05/08/19,109,0,0.48756
438116 (2005 NX44),Y,N,0,17.38,,,,,,,,,,,JPL 42,2460000.5,J2000,0.9074,2.215,0.205,36.53,308.87,215.16,144.1,4.23,0.2989,2459518.45,3.3,0.123,1.71,2.79,APO,Otto Matic,3724,10/07/05,20/09/15,153,0,0.55163
