spkid,full_name,pdes,name,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
2612348,612348 (2002 GZ8),612348,,,Y,Y,0,18.73,,,,,,,,,,25.381,,,,,,,,,JPL 129,2460000.5,60000,2023-02-25.0,J2000,0.6397,2.821,1.016,5.32,309.76,161.47,162.77,4.63,0.208,2459217.81,2021-01-03.3,1.73E+03,4.74,0.0399,15.5,0.542,2.97,1.20E-08,8.00E-09,3.50E-08,2.60E-06,3.00E-05,2.90E-05,1.80E-06,1.30E-08,8.80E-10,6.20E-06,7.40E-06,APO,Otto Matic,7151,13/10/01,12/05/21,783,,,0,0.43341,,,,,,,,,
2612356,612356 (2002 JX8),612356,,,Y,Y,0,20.43,,,,,,,,,,,,,,,,,,,JPL 23,2460000.5,60000,2023-02-25.0,J2000,0.3054,0.7699,0.535,4.31,68.58,338.1,88.75,1.01,1.459,2459939.67,2022-12-26.1,247,0.676,0.0203,7.9,4.33,7.49,1.10E-07,6.00E-09,8.80E-08,1.80E-05,8.30E-05,9.10E-05,1.30E-04,7.90E-09,1.70E-08,8.90E-05,2.90E-06,ATE,Otto Matic,6958,04/05/02,22/05/21,90,,,1,0.75589,,,,,,,,,
2612358,612358 (2002 JE9),612358,,,Y,Y,0,21.38,,,,,,,,,,,,,,,,,,,JPL 54,2460000.5,60000,2023-02-25.0,J2000,0.4165,1.066,0.622,8.77,199.83,255.91,24.31,1.51,0.8953,2459973.35,2023-01-28.8,402,1.1,0.00699,2.72,3.7,5.69,7.30E-08,8.10E-08,6.60E-08,5.20E-06,3.50E-05,3.10E-05,4.90E-05,1.10E-07,1.00E-07,5.10E-05,4.60E-05,APO,Otto Matic,7699,30/05/01,28/06/22,216,,,0,0.48206,,,,-8.70E-14,1.50E-14,,,,
2612380,612380 (2002 PF43),612380,,,Y,Y,0,20.86,,,,,,,,,,,,,,,,,,,JPL 24,2460000.5,60000,2023-02-25.0,J2000,0.366,1.644,1.042,13.86,142.76,191.63,265.03,2.25,0.4677,2460203.54,2023-09-16.0,770,2.11,0.0337,13.1,3.13,4.18,6.00E-08,3.80E-09,1.00E-07,7.90E-06,3.40E-05,3.50E-05,1.30E-05,5.20E-09,1.60E-09,2.90E-05,2.70E-06,AMO,Otto Matic,7033,10/08/02,11/11/21,49,,,0,0.61171,,,,,,,,,
2612509,612509 (2002 UK11),612509,,,Y,Y,0,21.89,,,,,,,,,,8,,,,,,,,,JPL 26,2460000.5,60000,2023-02-25.0,J2000,0.5755,1.323,0.562,5.37,69.19,84.54,78.91,2.09,0.6474,2459878.61,2022-10-26.1,556,1.52,0.0121,4.71,2.92,4.75,1.00E-07,7.00E-09,1.30E-07,8.90E-06,4.80E-05,4.00E-05,1.20E-05,1.10E-08,5.10E-09,1.80E-05,4.40E-06,APO,Otto Matic,6818,28/10/02,28/06/21,86,,,0,0.54132,,,,,,,,,
2612522,612522 (2002 VP69),612522,,,Y,Y,0,18.23,,,,,,,,,,,,,,,,,,,JPL 77,2460000.5,60000,2023-02-25.0,J2000,0.5267,2.02,0.956,10.12,306.84,189.05,356.92,3.08,0.3434,2460009.48,2023-03-05.9,1.05E+03,2.87,0.0232,9.02,1.98,3.62,3.50E-08,4.40E-09,7.10E-08,4.60E-06,3.40E-05,3.60E-05,1.20E-05,6.80E-09,1.10E-09,3.50E-05,3.40E-06,APO,Otto Matic,7449,06/10/02,27/02/23,394,,,0,0.54254,,,,,,,,,
2612536,612536 (2003 AA3),612536,,,Y,Y,0,20.3,,,,,,,,,,,,,,,,,,,JPL 54,2460000.5,60000,2023-02-25.0,J2000,0.2891,1.421,1.01,13.78,106.39,347.01,322.69,1.83,0.5818,2460064.63,2023-04-30.1,619,1.69,0.0316,12.3,3.36,4.63,3.60E-08,4.80E-09,5.20E-08,1.10E-05,8.60E-06,3.70E-05,4.20E-05,6.10E-09,2.90E-09,7.30E-05,3.10E-06,APO,Otto Matic,6347,03/01/03,20/05/20,322,,,0,0.48764,,,,,,,,,
2612780,612780 (2004 MD),612780,,,Y,Y,0,20.21,,,,,,,,,,,,,,,,,,,JPL 50,2460000.5,60000,2023-02-25.0,J2000,0.5379,1.916,0.885,9.77,85.47,124.14,32.65,2.95,0.3718,2459912.69,2022-11-29.1,968,2.65,0.0135,5.26,2.06,3.73,3.20E-08,2.90E-09,6.30E-08,5.70E-06,1.20E-05,1.40E-05,5.80E-06,4.40E-09,8.30E-10,1.50E-05,2.20E-06,APO,Otto Matic,6055,16/01/04,14/08/20,479,,,0,0.57561,,,,,,,,,
2612786,612786 (2004 PJ2),612786,,,Y,Y,0,21.57,,,,,,,,,,,,,,,,,,,JPL 29,2460000.5,60000,2023-02-25.0,J2000,0.3419,1.418,0.933,2.58,317.17,281.66,33.89,1.9,0.5837,2459942.44,2022-12-28.9,617,1.69,0.0231,9.01,3.11,4.65,1.80E-07,1.00E-08,2.50E-07,2.20E-05,9.30E-05,1.20E-04,1.30E-04,1.40E-08,6.50E-09,2.20E-04,6.90E-06,APO,Otto Matic,8261,19/02/99,02/10/21,134,,,0,0.50668,,,,,,,,,
2612813,612813 (2004 RF84),612813,,,Y,Y,0,18.39,,,,,,,,,,,,,,,,,,,JPL 94,2460000.5,60000,2023-02-25.0,J2000,0.6038,2.163,0.857,23.29,344.53,122.63,245.95,3.47,0.3097,2460368.69,2024-02-28.1,1.16E+03,3.18,0.0332,12.9,2.09,3.35,2.00E-08,3.20E-09,4.50E-08,8.10E-06,3.20E-06,8.00E-06,4.70E-06,5.10E-09,6.80E-10,1.60E-05,2.60E-06,APO,Otto Matic,6003,10/09/04,16/02/21,451,1,1,0,0.45147,,,,,,,,,
2612856,612856 (2004 TP1),612856,,,Y,Y,0,20.76,,,,,,,,,,,,,,,,,,,JPL 57,2460000.5,60000,2023-02-25.0,J2000,0.3892,1.291,0.789,7.49,30.04,87.89,139.69,1.79,0.6718,2459792.56,2022-08-01.0,536,1.47,0.0281,10.9,3.33,4.94,3.10E-08,1.40E-09,4.00E-08,5.50E-06,1.00E-05,1.20E-05,3.50E-06,1.90E-09,1.10E-09,5.00E-06,8.60E-07,APO,Otto Matic,6063,05/10/04,12/05/21,428,,,0,0.41647,,,,,,,,,
2612901,612901 (2004 XP14),612901,,,Y,Y,0,19.79,,,,,,,,,,100,,,,,,,,,JPL 130,2460000.5,60000,2023-02-25.0,J2000,0.1586,1.052,0.885,32.95,281.02,273.72,226.01,1.22,0.9135,2460147.18,2023-07-21.6,394,1.08,0.00201,0.783,3.98,5.69,6.40E-09,8.10E-11,6.80E-09,3.70E-06,7.20E-07,1.40E-06,1.60E-06,9.40E-11,1.10E-10,1.70E-06,4.60E-08,APO,Otto Matic,5785,10/12/04,12/10/20,1369,1,3,0,0.27729,,,,,,,,,
2612924,612924 (2005 CL),612924,,,Y,Y,0,20.29,,,,,,,,,,,,,,,,,,,JPL 32,2460000.5,60000,2023-02-25.0,J2000,0.754,1.987,0.489,4.44,318.48,298.45,126.81,3.49,0.3518,2459640.04,2022-03-01.5,1.02E+03,2.8,0.0239,9.31,1.63,3.43,3.90E-08,1.70E-08,7.50E-08,9.00E-06,1.00E-04,1.00E-04,2.80E-05,3.00E-08,4.50E-09,7.50E-05,1.30E-05,APO,Otto Matic,5136,16/01/05,08/02/19,114,,,0,0.64766,,,,,,,,,
2612989,612989 (2005 LW39),612989,,,Y,Y,0,20,,,,,,,,,,,,,,,,,,,JPL 37,2460000.5,60000,2023-02-25.0,J2000,0.7161,1.988,0.564,28.46,251.5,275.18,130.25,3.41,0.3517,2459630.21,2022-02-19.7,1.02E+03,2.8,0.0259,10.1,2.6,3.38,4.80E-08,2.20E-09,9.50E-08,2.20E-05,2.00E-05,1.70E-05,4.30E-06,3.80E-09,5.80E-10,1.20E-05,1.70E-06,APO,Otto Matic,6021,15/06/05,09/12/21,166,,,0,0.46768,,,,,,,,,
2613286,613286 (2005 YQ96),613286,,,Y,Y,0,20.62,,,,,,,,,,,,,,,,,,,JPL 42,2460000.5,60000,2023-02-25.0,J2000,0.3335,0.7434,0.496,22.22,282.67,340.11,112.11,0.99,1.538,2459927.59,2022-12-14.0,234,0.641,0.0195,7.58,4.1,7.66,9.90E-08,6.50E-09,7.10E-08,1.40E-05,5.50E-06,2.70E-05,3.10E-05,8.70E-09,2.00E-08,2.00E-05,3.10E-06,ATE,Otto Matic,5851,30/12/05,06/01/22,95,5,4,0,0.44963,,,,-4.10E-14,1.10E-14,,,,
